ETPL_Inst_Code|ETPL_CIP_Code|ETPL_Credential|ETPL_CIP_USHE|ETPL_Program_USHE|ETPL_IPEDS|ETPL_Deg_Intent|ETPL_Year|ETPL_Key|Created_Date|Modified_Date|Inactive
3671|510904|AS|AAS|Emergency Medical Services (EMT), AAS|2|2|2022|36712022510904ASAAS22|2022-09-06 11:06:18.713|NULL|N
3671|510904|CT|CER0|Advanced Emergency Medical Technician|2|2|2022|36712022510904CTCER022|2022-09-06 11:06:18.713|NULL|N
3671|510904|CT|CER1|Paramedic|2|2|2022|36712022510904CTCER122|2022-09-06 11:06:18.713|NULL|N
3671|510909|AS|AAS|Surgical Technology AAS|3|3|2022|36712022510909ASAAS33|2022-09-06 11:06:18.713|NULL|N
3671|510911|AS|AAS|Medical Radiography|3|3|2022|36712022510911ASAAS33|2022-09-06 11:06:18.713|NULL|N
3671|511005|BS|BS|Medical Laboratory Science|5|5|2022|36712022511005BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|511009|CT|CER0|Phlebotomy|1A|1A|2022|36712022511009CTCER01A1A|2022-09-06 11:06:18.713|NULL|N
3671|513801|AS|AAS-ADN|Nursing, AAS|3|3|2022|36712022513801ASAAS-ADN33|2022-09-06 11:06:18.713|NULL|N
3671|513801|BS|BSN|Nursing Pre-Licensure|5|5|2022|36712022513801BSBSN55|2022-09-06 11:06:18.713|NULL|N
3671|513902|CT|CER0 - CNA|Nurse Assistant - CNA|1A|1A|2022|36712022513902CTCER0-CNA1A1A|2022-09-06 11:06:18.713|NULL|N
3671|520201|AS|AS-ASB|Management, AS|3|3|2022|36712022520201ASAS-ASB33|2022-09-06 11:06:18.713|NULL|N
3671|520201|BS|BS|Management, BS|5|5|2022|36712022520201BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|520301|BS|BS|Accounting|5|5|2022|36712022520301BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|520801|BS|BS|Finance|5|5|2022|36712022520801BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|521201|BS|BS|Information Systems and Analytics|5|5|2022|36712022521201BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|521401|BS|BS|Marketing (BA/BS)|5|5|2022|36712022521401BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|540101|BS|BS|History, BA/BS|5|5|2022|36712022540101BSBS55|2022-09-06 11:06:18.713|NULL|N
3671|090101|BS|BS|Communication Studies - All emphases|5|5|2023|36712023090101BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|090102|CT|CERT|Social Media|1B|1B|2023|36712023090102CTCERT1B1B|2023-08-08 08:23:43.343|NULL|N
3671|090102|BS|BS|Media Studies (all emphases)|5|5|2023|36712023090102BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|090799|BS|BS|Digital Film|5|5|2023|36712023090799BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|110101|BS|BS|Information Technology|5|5|2023|36712023110101BSBS55|2023-08-08 08:23:43.343|NULL|N
