CIPCode2000|CIPTitle2000|Action|Text change|CIPCode2010|CIPTitle2010
NULL|NULL|New|no|290206|Information/Psychological Warfare and Military Media Relations
NULL|NULL|New|no|290207|Cyber/Electronic Operations and Warfare
NULL|NULL|New|no|290299|Intelligence, Command Control and Information Operations, Other
NULL|NULL|New|no|2903|Military Applied Sciences
NULL|NULL|New|no|290301|Combat Systems Engineering
NULL|NULL|New|no|290302|Directed Energy Systems
NULL|NULL|New|no|290303|Engineering Acoustics
NULL|NULL|New|no|290304|Low-Observables and Stealth Technology
NULL|NULL|New|no|290305|Space Systems Operations
NULL|NULL|New|no|290306|Operational Oceanography
NULL|NULL|New|no|290307|Undersea Warfare
NULL|NULL|New|no|290399|Military Applied Sciences, Other
NULL|NULL|New|no|2904|Military Systems and Maintenance Technology
NULL|NULL|New|no|290401|Aerospace Ground Equipment Technology
NULL|NULL|New|no|290402|Air and Space Operations Technology
NULL|NULL|New|no|290403|Aircraft Armament Systems Technology
NULL|NULL|New|no|290404|Explosive Ordinance/Bomb Disposal
NULL|NULL|New|no|290405|Joint Command/Task Force (C3, C4I) Systems
NULL|NULL|New|no|290406|Military Information Systems Technology
NULL|NULL|New|no|290407|Missile and Space Systems Technology
NULL|NULL|New|no|290408|Munitions Systems/Ordinance Technology
NULL|NULL|New|no|290409|Radar Communications and Systems Technology
NULL|NULL|New|no|290499|Military Systems and Maintenance Technology, Other
NULL|NULL|New|no|2999|Military Technologies and Applied Sciences, Other
NULL|NULL|New|no|299999|Military Technologies and Applied Sciences, Other
NULL|NULL|New|no|3000|Multi-/Interdisciplinary Studies, General
NULL|NULL|New|no|300000|Multi-/Interdisciplinary Studies, General
NULL|NULL|New|no|3026|Cultural Studies/Critical Theory and Analysis
NULL|NULL|New|no|302601|Cultural Studies/Critical Theory and Analysis
NULL|NULL|New|no|3027|Human Biology
NULL|NULL|New|no|302701|Human Biology
NULL|NULL|New|no|3028|Dispute Resolution
NULL|NULL|New|no|302801|Dispute Resolution
NULL|NULL|New|no|3029|Maritime Studies
NULL|NULL|New|no|302901|Maritime Studies
NULL|NULL|New|no|3030|Computational Science
NULL|NULL|New|no|303001|Computational Science
NULL|NULL|New|no|3031|Human Computer Interaction
NULL|NULL|New|no|303101|Human Computer Interaction
NULL|NULL|New|no|3032|Marine Sciences
NULL|NULL|New|no|303201|Marine Sciences
NULL|NULL|New|no|3033|Sustainability Studies
NULL|NULL|New|no|303301|Sustainability Studies
NULL|NULL|New|no|270304|Computational and Applied Mathematics
NULL|NULL|New|no|270305|Financial Mathematics
NULL|NULL|New|no|270306|Mathematical Biology
NULL|NULL|New|no|270503|Mathematics and Statistics
NULL|NULL|New|no|261310|Ecology and Evolutionary Biology
NULL|NULL|New|no|280199|Air Force ROTC, Air Science and Operations, Other
NULL|NULL|New|no|310302|Golf Course Operation and Grounds Management
NULL|NULL|New|no|310399|Parks, Recreation and Leisure Facilities Management, Other
NULL|NULL|New|no|320110|Basic Computer Skills
NULL|NULL|New|no|320111|Workforce Development and Training
NULL|NULL|New|no|3106|Outdoor Education
