Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
c35d|4c35d|2021-08-03 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
c35e|4c35e|2021-12-14 15:19:37.930|2022-08-17 13:59:30.817|Explanation|NULL|N
c36a|4c36a|2021-05-10 15:09:56.157|2022-08-17 14:00:26.957|Explanation|NULL|N
c36b|4c36b|2021-08-03 00:00:00.000|2022-08-17 14:00:26.957|Fatal|NULL|N
c36c|4c36c|2021-12-14 15:19:37.930|2022-08-17 14:00:26.957|Explanation|NULL|N
c37a|4c37a|2021-09-17 00:00:00.000|NULL|Fatal|NULL|N
c38|4c38|2018-12-12 00:00:00.000|2021-12-16 11:37:11.390|Count|NULL|N
c38a|4c38a|2021-05-10 15:39:11.490|NULL|Fatal|NULL|N
c38b|4c38b|2021-05-10 15:55:53.973|2022-11-08 10:52:17.620|Explanation|NULL|N
c38c|4c38c|2021-08-03 00:00:00.000|2022-11-08 10:52:17.620|Fatal|NULL|N
c38d|4c38d|2021-12-15 16:49:44.510|2022-08-17 14:00:44.260|Count|NULL|N
c38e|4c38e|2022-11-08 10:56:09.833|NULL|Explanation|NULL|N
c38f|4c38f|2022-11-08 10:56:09.833|NULL|Fatal|NULL|N
c38g|4c38g|2022-11-08 10:56:09.833|NULL|Explanation|NULL|N
c38h|4c38h|2022-11-08 10:56:09.833|NULL|Fatal|NULL|N
c39a|4c39a|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Explanation|NULL|N
c39b|4c39b|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Explanation|NULL|N
c39c|4c39c|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Explanation|NULL|N
c40a|4c40a|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Explanation|NULL|N
c40b|4c40b|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Explanation|NULL|N
c40c|4c40c|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Explanation|NULL|N
c41a|4c41a|2021-08-05 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
c41b|4c41b|2021-08-05 00:00:00.000|NULL|Explanation|NULL|N
c41c|4c41c|2021-08-05 00:00:00.000|NULL|Fatal|NULL|N
c41d|4c41d|2021-08-05 00:00:00.000|NULL|Explanation|NULL|N
c41e|4c41e|2021-08-05 00:00:00.000|NULL|Removed|NULL|Y
c42a|4c42a|2021-08-05 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
