CIP_CODE|CIP_COURSE|CIP_SHORT|SHORT_COURSE|PERKINS|CIP1999|PERKINS_PROGRAM|PERKINS_SECTION|NON_TRAD|UCAT_APPROVED|CIPTitle_2010
521499|Marketing, Other|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|521499|NULL|NULL|NULL|NULL|Marketing, Other.
521500|Real Estate|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|521500|NULL|NULL|NULL|NULL|NULL
521501|Real Estate|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|521501|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|BUSINESS AND ADMINISTRATION SERVICES|NULL|Y|Real Estate.
521600|Taxation|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|521600|NULL|NULL|NULL|NULL|NULL
521601|Taxation|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|521601|NULL|NULL|NULL|NULL|Taxation.
521700|Insurance|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|NEW|NULL|NULL|NULL|NULL|NULL
521701|Insurance|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|520805|NULL|NULL|NULL|NULL|Insurance.
521800|Gen Sales/Merch/Related Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|NEW|NULL|NULL|NULL|NULL|NULL
521801|Sales, Dist and Marketing Operations, General|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|080301|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|BUSINESS AND ADMINISTRATION SERVICES|NULL|Y|Sales, Distribution, and Marketing Operations, General.
521802|Merchandising and Buying Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|080704|NULL|NULL|NULL|NULL|Merchandising and Buying Operations.
521803|Retailing and Retail Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|080705|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|INFORMATION TECHNOLOGY SERVICES|NULL|NULL|Retailing and Retail Operations.
521804|Selling Skills and Sales Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|080706|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|BUSINESS AND ADMINISTRATION SERVICES|NULL|NULL|Selling Skills and Sales Operations.
521899|Gen Sales, Merch and Related Marketing Oper, Other|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|080799|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|BUSINESS AND ADMINISTRATION SERVICES|NULL|NULL|General Merchandising, Sales, and Related Marketing Operations, Other.
521900|Specialized Sales/Merch/Related Marketing Oper|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|NEW|NULL|NULL|NULL|NULL|NULL
521901|Auctioneering|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|080701|NULL|NULL|NULL|NULL|Auctioneering.
521902|Fashion Merchandising|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|080102|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|INFORMATION TECHNOLOGY SERVICES|NULL|Y|Fashion Merchandising.
521903|Fashion Modeling|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|080103|NULL|NULL|NULL|NULL|Fashion Modeling.
